street;country;country;capital;lat;lng;Accuracy;NbAdrReturned;Error/Address;Code
1;Portugal;Portugal;Lisbon;38.6998192;-9.2040128;6;5;Rua 1, 1400 Lisbonne, Portugal;200
1;Qatar;Qatar;Doha;25.2607699;51.4920884;6;1;1, Doha, Qatar;200
1;Réunion;Réunion;Saint-Denis;-20.8832052;55.4498149;9;1;L Artotheque, Rue Roland Garros, Saint-Denis, Réunion;200
1;Romania;Romania;Bucharest;44.4917649;26.0487684;4;9;Sector 1, Bucarest, Roumanie;200
1;Serbia;Serbia;Belgrade;44.8351283;20.3599041;8;1;1, Grmeč, Belmax Center, Belgrade, Serbie;200
1;Russia;Russia;Moscow;55.7469772;37.6053932;4;1;1, Moscou, Russie;200
1;Saudi Arabia;Saudi Arabia;Riyadh;24.6537994;46.6836632;9;5;Pakistan International School, 3797 Prince Fahd Bin Salman Road, An Nasiriyah, Riyad 12732, Arabie saoudite;200
1;Sweden;Sweden;Stockholm;59.325798;18.0698543;4;1;1, Södermalm, Stockholm, Suède;200
1;Singapore;Singapore;Singapur;1.2939723;103.8569112;4;7;1, Singapour;200
1;Slovenia;Slovenia;Ljubljana;46.0680471;14.5428278;1;1;1, BTC City Ljubljana, 1000 Ljubljana, Slovénie;200
1;Slovakia;Slovakia;Bratislava;48.1458992;17.1071342;4;1;Bratislava, Slovaquie;200
1;Somalia;Somalia;Mogadishu;2.042685;45.3129317;9;1;Mogadishu University - Postgraduate Program, Mogadiscio, Somalie;200
1;Togo;Togo;Lome;6.1303419;1.2136626;9;9;SPT Societé des Postes du Togo, Ave Nicolas Grunitsky, Lome, Togo;200
1;Thailand;Thailand;Bangkok;13.8561687;100.5851996;6;4;1, Bangkok, Thaïlande;200
1;United States;United States;Washington;47.8773419;-122.212325;8;11;13300 Washington 527, A, Mill Creek, État de Washington 98012, États-Unis;200
1;Uzbekistan;Uzbekistan;Tashkent;41.3323878;69.1624653;6;1;Tashkent Ring Automobile Road, Tachkent, Ouzbékistan;200
1;Venezuela;Venezuela;Caracas;10.4474617;-66.9232541;6;3;Autopista Valle - Coche, Caracas, Venezuela;200
