name,city,country,lat,lng
Free Internet eXchange Oslo,Oslo,Norway
Polish Internet Exchange,Warsaw,Poland
Warsaw Internet Exchange,Warsaw,Poland
GIGAbit Portuguese Internet Exchange,Lisbon,Portugal
Balcan-IX,,Romania
Romanian Network for Internet Exchange,Bucharest,Romania
InterLAN Internet Exchange,Bucharest,Romania
Tomis Internet eXchange,Constanța,Romania
Chelyabinsk Peering Point Ural,Chelyabinsk,Russia
DataIX,Saint Petersburg,Russia
EKT-IX,Yekaterinburg,Russia
Home-IX,,Russia
PIRIX,Saint Petersburg,Russia
IXNN,,Russia
KRS-IX,,Russia
KZN-IX,Kazan,Russia
Moscow Internet Exchange,,Russia
NSK-IX,Novosibirsk,Russia
RND-IX,Rostov,Russia
Samara Internet Exchange,Samara,Russia
Saint Petersburg,,Russia
Saint Petersburg Internet Exchange,Saint Petersburg,Russia
SVAO-IX,Moscow,Russia
VLV-IX,Vladivostok,Russia
Serbian Open eXchange,Belgrade,Serbia
Slovak Internet Exchange,Bratislava,Slovakia
Slovenian Internet Exchange,Ljubljana,Slovenia
Catalunya Neutral Internet Exchange,Barcelona,Spain
Nap de las Americas,Terremark,Spain
España Internet Exchange,Madrid,Spain
Galicia Neutral Internet Exchange,Santiago de Compostela,Spain
Punto Neutro Vasco,San Sebastián,Spain
BOR-IX,Borås,Sweden
IXOR,Malmö,Sweden
Netnod Internet Exchange i Sverige,Stockholm,Sweden
GIX,Göteborg,Sweden
SOL-IX,Stockholm,Sweden
STHIX,Stockholm,Sweden
NorrNod,Umeå,Sweden
CERN Internet Exchange Point,Geneva,Switzerland
Swiss Internet Exchange,Zürich,Switzerland
Telehouse Internet Exchange,Zürich,Switzerland
Rheintal Internet Exchange,Rhine Valley,Switzerland
Turkish Information Exchange,,Turkey
Ukrainian Internet Exchange Network (UA-IX),Kiev,Ukraine
Digital Telecom Internet Exchange,Kiev,Ukraine
Donetsk Internet Exchange Point,Donetsk,Ukraine
Kharkiv Internet Exchange,Kharkiv,Ukraine
Kherson Internet Exchange,Kherson,Ukraine
Odessa Internet Exchange,Odessa,Ukraine
Zaporizhia Internet Exchange,Zaporizhia,Ukraine
IXLeeds,Leeds,United Kingdom
IX Manchester,Manchester,United Kingdom
London Internet Exchange,London,United Kingdom
London Internet Providers Exchange,London,United Kingdom
London Network Access Point,London,United Kingdom
Manchester Commercial Internet Exchange,Manchester,United Kingdom
Manchester Network Access Point,Manchester,United Kingdom
Meridian Gate Internet Exchange,London,United Kingdom
Packet Exchange,London,United Kingdom
Redbus Internet Exchange,London,United Kingdom
xChangepoint,London,United Kingdom
Beirut Internet Exchange,Beirut,Lebanon
Israeli Internet Exchange,,Israel
Cairo Internet Exchange,Cairo,Egypt
